No,사무소명,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년
No,사무소명,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량,쓰레기처리량
No,사무소명,톤,톤,톤,톤,톤,톤,톤,톤,톤,톤
No,사무소명,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
1,합계,"1,653","1,494","1,375","1,297.81","1,208","1,187","1,143","1,124",963.38,870.64
2,지리산,50,44,27,39,28,26,25,21,23.8,28.5
3,지리산북부,87,79,75,90,73,59,60,58,50.65,66.65
4,지리산남부,41,36,33,29,22,21,21,20,18.38,6.05
5,경주,23,20,13,9,6,5,5,5,12.57,4.98
6,계룡산,45,39,52,54,49,47,46,46,31.29,17.23
7,한려해상,25,15,15,18,86,82,80,78,32.8,12.36
8,한려동부,82,90,95,101,81,79,77,81,36.55,26.06
9,설악산,123,101,92,82,59,56,57,51,51.62,36.49
10,속리산,105,49,35,33,35,32,30,29,25.6,15.55
11,한라산,133,147,88,33.81,38,53,34,41,28.1,39.3
12,내장산,46,39,40,29,29,27,26,25,22.81,53.59
13,내장산백암,37,23,25,25,21,19,18,19,17.52,14.04
14,가야산,38,60,28,33,31,28,27,29,23.65,8.31
15,덕유산,112,139,125,138,108,102,100,98,75.59,68.91
16,오대산,81,77,100,98,85,83,80,78,52.14,57.26
17,주왕산,74,53,38,36,30,29,28,25,25.21,24.76
18,태안해안,85,75,72,59,39,38,38,38,39.54,27.26
19,다도해해상,15,12,13,16,13,13,13,13,22.03,28.85
20,다도해서부,12,10,9,12,33,33,32,28,22.66,6.84
21,치악산,25,28,30,38,35,34,32,30,20.67,13.1
22,월악산,75,39,32,73,75,74,72,72,69.44,58.62
23,북한산,117,72,66,46,54,53,50,48,65.48,49.05
24,북한산도봉,58,51,39,39,38,37,36,35,28.4,41.16
25,소백산,11,11,13,15,16,16,15,16,13.75,6.47
26,소백산북부,16,14,9,11,9,9,8,10,18.78,18.11
27,월출산,21,19,17,13,15,15,14,14,17.02,18.35
28,변산반도,116,102,102,95,75,58,61,58,60.86,69.83
29,무등산,,36,62,24,17,17,16,16,16.04,15.68
30,무등산동부,,14,30,9,7,7,7,7,5.78,2.82
31,태백산,,,,,,35,35,35,34.65,34.46
"    출처 : 국립공원관리공단(www.knps.or.kr)
1. 1995년~2001년 통계값은 연도별 오물처리 현황에서 발췌",,,,,,,,,,,
